t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
0,1000,503,497,0,0,0,1000,1000,0.0,1.0,0.0,4,1000,0,0.0,0,0.9625813279257459,0.9975714430052348,0.0,0.9800513841614387
1,1000,522,478,366,137,0,2928,2697,0.0006178678678678679,1.0,0.0,38,348,2,421.2320367284048,8,0.9157843814164682,0.9902880813807977,0.9325537481244558,0.9722975025593567
2,1000,495,505,378,144,0,2984,2677,0.0011713588588588588,0.9835625,0.016437499999999994,69,243,5,460.27471394701587,8,0.8976964744982507,0.9819404168916526,0.90624883775351,0.9637071351717205
3,1000,531,469,377,118,0,2918,2523,0.0017461524024024024,0.949125,0.050875000000000004,85,189,4,435.9691663062449,8,0.8610149025821827,0.9773359155474227,0.878404426442573,0.9564227667818084
4,1000,474,526,368,163,0,2835,2391,0.002405342842842843,0.934125,0.06587500000000002,121,156,5,412.8780487804878,8,0.8479330741726098,0.9784043686720769,0.8634736709278122,0.9568136247559746
5,1000,495,505,374,100,0,2890,2388,0.0030719156656656655,0.88975,0.11024999999999996,115,129,8,430.82514553238684,8,0.8203986688959501,0.9737902124304789,0.8596090880670383,0.9502238228968931
6,1000,520,480,380,115,0,2932,2346,0.003772022022022022,0.878,0.122,118,109,8,428.3087144806312,8,0.8164651157990684,0.9716859749708279,0.8508794538019099,0.948417838007266
7,1000,506,494,388,132,0,2963,2420,0.004616147397397397,0.87075,0.12924999999999998,97,95,4,419.30524298669764,8,0.8088913752345509,0.9660019162518828,0.8316981600726564,0.9410878242572212
8,1000,507,493,390,116,0,2942,2429,0.005390515515515516,0.8791875,0.12081249999999999,103,87,6,450.8937835354105,8,0.8265943252726639,0.9687470531884659,0.8171913780797477,0.9428611130484894
9,1000,531,469,382,125,0,2905,2383,0.006083364614614614,0.8628125,0.13718750000000002,106,74,3,429.6482116147876,8,0.822915618790374,0.9675878646039141,0.8156390323987115,0.9398879478525739
10,1000,495,505,372,159,0,2811,2345,0.006823511011011011,0.847625,0.15237500000000004,107,67,4,430.10057560575353,8,0.8249304994198348,0.9703676319646487,0.8036156313611501,0.9422803179518475
11,1000,510,490,374,121,0,2863,2305,0.007486986986986987,0.81675,0.18325000000000002,91,62,0,443.60015222630983,8,0.8012667813971213,0.9655935271369434,0.815353476198901,0.9366726580730602
12,1000,473,527,383,127,0,2886,2331,0.008300487987987989,0.835,0.16500000000000004,95,60,4,426.2579475317611,8,0.8076414612990136,0.9643027296269348,0.7891648327808417,0.9344677288462798
13,1000,499,501,380,93,0,2864,2259,0.008893831331331332,0.8010625,0.1989375,90,57,1,423.0634009140982,8,0.7913928602570209,0.9614247804025682,0.7815611648152712,0.9291615018897801
14,1000,488,512,388,111,0,2890,2275,0.009315534284284284,0.8095625,0.19043750000000004,82,54,1,432.87135545459773,8,0.7970725252455862,0.9649056367177312,0.7615277637937115,0.9317509834737568
15,1000,509,491,377,111,0,2862,2263,0.010128284534534534,0.8115,0.1885,101,50,1,413.0420252075686,8,0.7888522853655466,0.960756279628489,0.7814885105130189,0.9276979407370056
16,1000,487,513,389,120,0,2915,2331,0.010883164414414415,0.8019375,0.19806250000000003,91,49,1,435.2920194113874,8,0.7926324194336342,0.9621006020762993,0.7711128656342152,0.930483735655747
17,1000,514,486,393,94,0,2956,2340,0.011817129629629629,0.7995,0.2005,81,47,0,438.7456537054291,8,0.7950892504600233,0.9645763554811094,0.771968701647654,0.9298816562400974
18,1000,477,523,390,124,0,2948,2353,0.012572979229229229,0.7819375,0.21806250000000005,77,47,0,419.37796404543946,8,0.7904653255551477,0.964098797432938,0.7688993737086371,0.9277030361857393
19,1000,491,509,387,90,0,2909,2299,0.013238457207207207,0.7645625,0.23543749999999997,76,46,0,441.7756094107653,8,0.7985109622202154,0.9581240400845259,0.7620371854196499,0.9208832506222887
20,1000,490,510,386,105,0,2875,2279,0.013804710960960961,0.7749375,0.22506250000000005,65,45,0,422.4751470196272,8,0.7953791620413252,0.9633058249685765,0.7421965615000636,0.9266553125329087
21,1000,497,503,381,109,0,2882,2236,0.014459584584584585,0.78425,0.21575,68,44,2,434.10688118663836,8,0.7874216191189669,0.9588561346678433,0.7589072191676581,0.9207960233398534
22,1000,496,504,377,120,0,2831,2216,0.015164633383383383,0.7640625,0.23593750000000002,67,41,0,434.46190904144424,8,0.7927224165362797,0.9637793072249592,0.7457053617402951,0.9246185018732683
23,1000,503,497,386,110,0,2912,2356,0.016116178678678678,0.768625,0.231375,65,41,0,439.3036996851081,8,0.8018382112978161,0.9610261882365231,0.7464276776706216,0.9230580153406793
24,1000,488,512,385,118,0,2879,2275,0.01705818318318318,0.7635625,0.23643749999999997,71,39,0,445.9638354845504,8,0.7951068274404702,0.964698387892136,0.7324365464208602,0.923722606210538
25,1000,514,486,385,103,0,2894,2287,0.018585335335335334,0.756625,0.243375,72,38,3,441.362573883008,8,0.8024228989127072,0.9656911271603489,0.7424623333159471,0.9252905057254602
26,1000,497,503,378,136,0,2862,2271,0.019355261511511512,0.75,0.25,78,35,1,427.96554326859723,8,0.791375767546635,0.9632914519936557,0.7393619023657257,0.9212912849429327
27,1000,503,497,381,116,0,2875,2294,0.019942317317317316,0.7419375,0.2580625,68,35,1,454.2939495698383,8,0.7907734151404328,0.9632508036666126,0.7411547308632346,0.9197272983534692
28,1000,511,489,384,119,0,2882,2229,0.02126861236236236,0.7336875,0.26631249999999995,80,35,0,446.55489873049714,8,0.7775537655623044,0.9541048137082329,0.7279004890385049,0.9090675245200461
29,1000,478,522,399,112,0,2933,2289,0.022355386636636637,0.7299375,0.2700625,61,33,1,442.4154844446914,8,0.7853946138311285,0.9594944949725398,0.7048071088183175,0.9123283128472847
30,1000,534,466,375,103,0,2812,2190,0.02449555805805806,0.7278125,0.2721875,71,32,2,424.8489425981873,8,0.7831517835869883,0.9586867076008683,0.7217363089764092,0.9125124367310129
31,1000,503,497,378,156,0,2807,2245,0.025550081331331333,0.7038125,0.29618750000000005,80,31,0,412.5517552015061,8,0.7864058702789746,0.9616207324379102,0.7165423516134872,0.9140672855336686
32,1000,488,512,388,115,0,2899,2306,0.026651901901901903,0.7174375,0.28256250000000005,85,30,0,408.704906283257,8,0.7895777789229319,0.9655006530411726,0.7080724206338253,0.91831541008898
33,1000,497,503,375,113,0,2839,2279,0.028093280780780782,0.694,0.30600000000000005,71,29,1,442.9133858267717,8,0.7845530671887745,0.9587550362443087,0.722481907696921,0.9119265804625699
34,1000,503,497,372,125,0,2765,2217,0.028962493743743743,0.6828125,0.31718749999999996,69,27,0,435.6410708439318,8,0.7933379135278377,0.9610025775395993,0.7031570113841249,0.9145934374614989
35,1000,521,479,392,111,0,2945,2301,0.02962931681681682,0.673875,0.326125,72,26,0,422.19096184279937,8,0.7777143645142148,0.9610036706873348,0.7077029615916235,0.9156981243891393
36,1000,525,475,391,130,0,2923,2285,0.029819725975975975,0.67175,0.32825000000000004,58,25,0,448.277479833803,8,0.7745151828867352,0.9575764431480296,0.6990611505593547,0.9098316372018513
37,1000,498,502,370,155,0,2746,2139,0.030563156906906908,0.66825,0.33175,67,25,0,420.14485637122516,8,0.7741339960317876,0.956675860364071,0.6898811304745395,0.9095682164130774
38,1000,501,499,376,122,0,2779,2148,0.03201667292292292,0.66825,0.33175,62,25,0,429.1195182361226,8,0.7700443571559222,0.9640671087421688,0.685626041816036,0.9182172990880554
39,1000,511,489,367,134,0,2775,2170,0.03292326701701702,0.665125,0.33487500000000003,79,25,0,429.94266962894864,8,0.7767347208759265,0.9640939197169514,0.6997321607455422,0.9183602050684168
40,1000,505,495,392,119,0,2956,2305,0.034347566316316316,0.6463125,0.35368750000000004,68,24,0,457.14829711783324,8,0.7735022070459094,0.9599681464498622,0.7051942181405206,0.913278314969245
41,1000,518,482,382,123,0,2851,2224,0.03571627877877878,0.64825,0.35175,59,24,0,419.73433661817074,8,0.7797967050726274,0.961242318392003,0.6845706422757867,0.916203909946464
42,1000,508,492,375,143,0,2812,2179,0.03591028528528529,0.663875,0.336125,59,24,0,408.2002902757619,8,0.7709362718797397,0.9643980016674999,0.6962009941335913,0.9166909364672465
43,1000,478,522,380,128,0,2865,2203,0.03763353978978979,0.63775,0.36224999999999996,66,24,2,441.75232501223695,8,0.7602044109224155,0.9659716598239128,0.7016911154570225,0.9165700395085719
44,1000,479,521,366,112,0,2778,2148,0.03956831831831832,0.6396875,0.36031250000000004,69,21,0,415.9659168540163,8,0.7791642487852746,0.9634766030247085,0.6993640783512926,0.9174367694790915
45,1000,487,513,388,91,0,2923,2309,0.04104861111111111,0.6378125,0.3621875,70,20,0,424.81432151161476,8,0.7903428217972122,0.9656904623774708,0.6983505511689027,0.9232339458180637
46,1000,507,493,374,113,0,2837,2203,0.04212049549549549,0.5989375,0.4010625,63,20,0,437.37492495497304,8,0.7743411806089436,0.9541168771475036,0.708819146891139,0.907896817854659
47,1000,512,488,372,135,0,2737,2114,0.04360691941941942,0.6136875,0.38631249999999995,74,18,0,426.1588302681661,8,0.7749477318130661,0.9589135199409845,0.6722777805835902,0.9129953025603449
48,1000,524,476,389,123,0,2897,2218,0.04535588713713714,0.60175,0.39825,72,18,1,428.10623935541184,8,0.7653481978415583,0.9592252622886257,0.6772785752301764,0.91288668335805
